gender,race/ethnicity,parental level of education,lunch,age,country_region,years_in_us,family_income_usd,financial_support,work_hours_per_week,scholarship_status,housing_type,study_hours_per_week,attendance_percentage,sleep_hours_per_day,screen_time_hours,campus_activity_participation,library_usage_hours,stress_level,homesickness_level,academic_pressure,social_support_score,visa_type,work_restriction_impact,prev_sem_gpa,english_proficiency_score,semester_gpa
male,group C,associate's degree,standard,28.0,India,3.0,132234.0,Loan,19.0,No,With relatives,35.0,60.0,5.4,6.7,0.0,5.6,10.0,8.0,1.0,7.0,F1,3.0,2.94,89.2,2.43
male,group D,associate's degree,standard,25.0,UK,4.0,113808.0,Self-funded,2.0,No,Off-campus,29.0,60.0,7.7,6.2,1.0,3.2,1.0,1.0,7.0,7.0,Other,4.0,3.72,91.7,3.0
female,group B,high school,standard,22.0,South Korea,2.0,128381.0,Scholarship,7.0,No,Off-campus,16.0,81.0,4.4,4.3,3.0,8.8,8.0,4.0,6.0,9.0,F1,6.0,3.01,114.0,2.36
male,group A,some college,standard,21.0,South Korea,2.0,26397.0,Family,13.0,No,With relatives,30.0,72.0,7.3,2.3,0.0,6.6,2.0,7.0,1.0,1.0,J1,4.0,3.37,98.3,2.72
female,group A,master's degree,standard,25.0,UK,1.0,117909.0,Scholarship,25.0,No,With relatives,37.0,60.0,5.2,10.0,3.0,0.5,1.0,8.0,4.0,5.0,F1,1.0,3.18,81.0,2.66
female,group C,some high school,standard,25.0,Other,0.0,149004.0,Loan,0.0,No,On-campus,32.0,75.0,6.4,5.9,2.0,4.8,8.0,7.0,5.0,10.0,Other,7.0,3.68,99.8,2.75
male,group C,high school,standard,20.0,Brazil,1.0,55525.0,Loan,13.0,No,With relatives,13.0,89.0,5.4,8.0,0.0,12.2,2.0,3.0,8.0,3.0,F1,5.0,2.57,83.4,2.28
female,group B,some high school,free/reduced,23.0,Nigeria,3.0,73072.0,Self-funded,1.0,Yes,On-campus,16.0,60.0,7.6,5.6,1.0,10.3,6.0,4.0,4.0,7.0,F1,8.0,3.15,119.4,2.49
male,group C,master's degree,free/reduced,22.0,Other,3.0,110106.0,Family,28.0,No,With relatives,9.0,60.0,8.7,2.3,3.0,10.9,6.0,7.0,3.0,4.0,F1,9.0,2.25,103.5,2.05
female,group C,associate's degree,free/reduced,19.0,UK,4.0,103820.0,Family,22.0,Yes,Off-campus,32.0,60.0,8.6,4.5,4.0,10.5,5.0,8.0,2.0,4.0,F1,5.0,3.38,90.3,2.66
male,group D,high school,standard,25.0,Germany,4.0,104530.0,Self-funded,3.0,No,On-campus,39.0,69.0,6.9,4.6,3.0,4.7,8.0,7.0,4.0,1.0,F1,8.0,3.46,102.5,2.48
female,group B,some college,free/reduced,29.0,China,3.0,43284.0,Self-funded,23.0,Yes,On-campus,9.0,75.0,6.3,8.7,4.0,1.5,3.0,6.0,10.0,1.0,J1,1.0,2.09,83.1,1.76
male,group D,some college,standard,23.0,Nigeria,3.0,81330.0,Family,26.0,No,On-campus,38.0,60.0,8.1,7.2,1.0,4.1,10.0,9.0,4.0,10.0,F1,1.0,3.35,112.0,2.64
female,group C,some high school,standard,19.0,Nigeria,3.0,103369.0,Scholarship,28.0,No,With relatives,38.0,73.0,7.4,4.2,2.0,12.5,4.0,9.0,10.0,2.0,F1,7.0,2.83,117.0,2.26
male,group D,bachelor's degree,free/reduced,29.0,South Korea,1.0,45122.0,Scholarship,18.0,No,Off-campus,17.0,71.0,4.9,9.7,4.0,14.7,7.0,7.0,5.0,2.0,F1,6.0,2.25,115.0,1.87
male,group A,master's degree,free/reduced,22.0,Nigeria,3.0,90553.0,Self-funded,5.0,Yes,On-campus,18.0,74.0,8.1,4.6,2.0,7.4,7.0,8.0,7.0,1.0,F1,5.0,2.84,93.7,2.0
male,group B,some college,standard,18.0,UK,2.0,101906.0,Scholarship,24.0,Yes,On-campus,15.0,60.0,6.1,10.0,3.0,0.1,8.0,6.0,9.0,8.0,Other,5.0,2.39,93.0,1.93
female,group C,bachelor's degree,standard,29.0,Germany,0.0,114788.0,Family,0.0,Yes,On-campus,8.0,69.0,4.9,10.0,1.0,2.1,2.0,1.0,2.0,6.0,F1,9.0,2.83,81.4,2.56
male,group C,high school,standard,27.0,Germany,3.0,82812.0,Loan,16.0,Yes,On-campus,37.0,70.0,5.4,3.5,4.0,4.8,2.0,1.0,5.0,6.0,F1,1.0,2.77,106.1,2.89
female,group D,master's degree,standard,23.0,India,0.0,27999.0,Loan,7.0,Yes,Off-campus,11.0,70.0,5.3,4.5,3.0,8.7,4.0,6.0,10.0,10.0,F1,8.0,3.48,101.4,2.32
female,group D,some college,standard,29.0,Germany,1.0,42436.0,Scholarship,18.0,No,With relatives,12.0,74.0,6.6,5.9,0.0,1.1,10.0,2.0,9.0,10.0,F1,2.0,3.55,98.4,2.39
female,group B,some college,standard,26.0,Other,0.0,62963.0,Self-funded,20.0,Yes,Off-campus,14.0,65.0,5.2,7.3,3.0,14.2,9.0,8.0,3.0,9.0,J1,7.0,3.21,116.3,2.23
female,group E,master's degree,free/reduced,18.0,Germany,1.0,22096.0,Self-funded,0.0,Yes,On-campus,19.0,72.0,4.6,6.2,2.0,5.5,10.0,1.0,1.0,5.0,F1,6.0,2.05,86.7,2.25
male,group D,some college,standard,28.0,South Korea,2.0,149940.0,Self-funded,4.0,No,Off-campus,19.0,60.0,4.6,9.8,1.0,13.7,9.0,2.0,2.0,4.0,F1,10.0,3.86,80.4,2.46
male,group E,some college,standard,28.0,Germany,1.0,133737.0,Self-funded,26.0,No,On-campus,9.0,87.0,6.9,7.8,1.0,11.7,4.0,8.0,6.0,6.0,J1,2.0,3.37,82.9,2.36
male,group E,associate's degree,standard,27.0,India,1.0,45279.0,Self-funded,15.0,No,With relatives,33.0,81.0,7.7,3.7,3.0,11.3,9.0,6.0,5.0,8.0,F1,3.0,2.07,88.9,2.46
female,group D,associate's degree,standard,29.0,China,4.0,141092.0,Scholarship,5.0,No,With relatives,23.0,81.0,5.6,2.8,0.0,9.1,3.0,10.0,1.0,1.0,F1,4.0,3.64,81.3,2.49
female,group D,some high school,free/reduced,29.0,UK,3.0,128899.0,Loan,7.0,No,With relatives,14.0,64.0,4.2,7.5,2.0,9.4,5.0,2.0,1.0,7.0,Other,7.0,2.4,100.1,2.42
female,group D,associate's degree,free/reduced,20.0,South Korea,3.0,134245.0,Loan,12.0,Yes,On-campus,16.0,90.0,4.6,3.3,3.0,9.6,10.0,2.0,4.0,8.0,F1,8.0,3.16,92.6,2.5
male,group B,associate's degree,free/reduced,29.0,Other,2.0,46201.0,Scholarship,15.0,No,Off-campus,8.0,60.0,8.6,8.3,3.0,9.4,9.0,7.0,4.0,9.0,J1,2.0,2.93,87.2,2.21
male,group C,associate's degree,free/reduced,24.0,China,2.0,39715.0,Self-funded,29.0,No,With relatives,35.0,61.0,6.5,4.5,1.0,8.3,6.0,5.0,6.0,8.0,F1,8.0,2.84,110.0,2.59
female,group C,associate's degree,standard,21.0,South Korea,3.0,49309.0,Scholarship,2.0,Yes,On-campus,22.0,73.0,6.3,4.6,2.0,14.8,3.0,5.0,6.0,7.0,J1,9.0,3.78,88.2,2.72
female,group B,associate's degree,standard,26.0,Brazil,4.0,35078.0,Loan,18.0,No,On-campus,20.0,60.0,4.2,2.1,0.0,11.0,10.0,8.0,10.0,3.0,J1,7.0,2.87,107.5,1.62
male,group B,some college,free/reduced,20.0,Nigeria,3.0,76614.0,Family,11.0,Yes,Off-campus,29.0,65.0,7.6,7.6,1.0,11.7,9.0,7.0,6.0,2.0,F1,1.0,2.15,94.0,1.99
female,group E,associate's degree,free/reduced,22.0,Brazil,4.0,25105.0,Scholarship,15.0,Yes,With relatives,27.0,60.0,6.6,2.9,3.0,13.1,6.0,9.0,1.0,3.0,F1,6.0,3.89,100.5,2.52
male,group B,associate's degree,standard,20.0,Germany,2.0,137666.0,Self-funded,26.0,No,On-campus,16.0,60.0,5.0,8.2,1.0,3.2,4.0,4.0,10.0,4.0,F1,8.0,3.84,117.4,2.23
female,group A,associate's degree,standard,24.0,China,0.0,114848.0,Loan,10.0,No,Off-campus,38.0,65.0,4.6,5.9,1.0,1.3,4.0,10.0,9.0,4.0,F1,5.0,3.37,81.5,2.28
female,group C,high school,standard,22.0,Germany,2.0,22839.0,Loan,9.0,No,With relatives,7.0,71.0,5.9,8.3,4.0,7.2,8.0,4.0,7.0,6.0,F1,2.0,2.94,100.0,2.06
female,group D,associate's degree,free/reduced,26.0,Nigeria,2.0,88920.0,Loan,24.0,Yes,Off-campus,13.0,74.0,8.2,6.7,1.0,7.7,7.0,2.0,7.0,7.0,F1,5.0,2.19,114.2,2.28
male,group C,high school,standard,24.0,South Korea,1.0,63619.0,Loan,19.0,No,Off-campus,22.0,84.0,8.3,2.7,1.0,12.4,1.0,3.0,7.0,4.0,F1,8.0,3.58,103.5,2.84
male,group E,some college,standard,19.0,Nigeria,1.0,62821.0,Self-funded,3.0,No,On-campus,39.0,60.0,7.0,8.1,2.0,6.7,6.0,1.0,2.0,10.0,Other,2.0,2.15,91.1,2.93
male,group E,associate's degree,free/reduced,21.0,India,1.0,145736.0,Family,11.0,No,On-campus,38.0,69.0,7.6,2.6,1.0,8.6,8.0,1.0,2.0,6.0,F1,1.0,2.14,95.9,2.75
male,group C,some college,standard,26.0,Nigeria,1.0,33493.0,Loan,22.0,No,On-campus,18.0,60.0,4.6,5.8,0.0,7.9,3.0,7.0,6.0,9.0,F1,4.0,3.07,107.2,2.37
male,group D,high school,standard,29.0,India,4.0,37069.0,Scholarship,1.0,Yes,Off-campus,8.0,78.0,6.9,3.4,3.0,0.6,9.0,5.0,7.0,6.0,F1,4.0,2.32,115.6,1.96
female,group C,some high school,free/reduced,19.0,Nigeria,3.0,132443.0,Family,23.0,Yes,On-campus,33.0,84.0,7.3,8.0,2.0,9.2,10.0,3.0,3.0,3.0,F1,9.0,2.02,81.6,2.41
female,group C,high school,free/reduced,27.0,UK,0.0,27531.0,Loan,21.0,No,Off-campus,19.0,60.0,5.0,9.3,1.0,12.4,2.0,7.0,4.0,1.0,F1,3.0,2.85,82.9,2.16
female,group E,associate's degree,standard,26.0,India,2.0,57051.0,Family,18.0,No,Off-campus,32.0,85.0,8.4,6.4,0.0,2.4,6.0,2.0,3.0,10.0,F1,4.0,2.27,93.0,2.98
male,group D,associate's degree,standard,27.0,China,4.0,27736.0,Scholarship,24.0,No,On-campus,20.0,60.0,5.0,6.2,3.0,8.9,1.0,3.0,7.0,10.0,J1,3.0,2.32,89.3,2.51
male,group D,some college,standard,22.0,Germany,0.0,27710.0,Loan,4.0,No,With relatives,16.0,60.0,5.6,8.1,2.0,8.9,2.0,1.0,7.0,5.0,Other,2.0,2.15,90.6,2.28
female,group C,some high school,free/reduced,19.0,Other,4.0,87155.0,Scholarship,7.0,No,With relatives,9.0,60.0,7.1,2.0,0.0,2.5,5.0,8.0,4.0,10.0,F1,4.0,2.41,88.9,2.21
male,group E,bachelor's degree,free/reduced,21.0,Germany,4.0,33975.0,Self-funded,6.0,Yes,With relatives,38.0,74.0,7.2,9.3,1.0,1.9,1.0,2.0,7.0,10.0,F1,8.0,3.43,87.8,3.22
male,group A,some high school,free/reduced,29.0,Brazil,2.0,82424.0,Loan,13.0,No,Off-campus,5.0,60.0,7.5,3.6,4.0,14.7,8.0,7.0,5.0,3.0,F1,1.0,3.62,85.2,2.01
male,group A,associate's degree,free/reduced,29.0,Germany,3.0,65603.0,Loan,23.0,Yes,Off-campus,36.0,61.0,4.6,9.9,4.0,5.9,1.0,9.0,1.0,8.0,F1,8.0,2.91,117.4,2.77
female,group C,associate's degree,standard,24.0,South Korea,1.0,43252.0,Loan,22.0,No,Off-campus,30.0,80.0,8.2,7.9,2.0,3.4,9.0,6.0,10.0,10.0,F1,8.0,3.01,85.8,2.5
female,group D,some high school,standard,29.0,UK,3.0,100797.0,Loan,2.0,No,On-campus,21.0,60.0,6.7,8.2,0.0,2.6,10.0,2.0,4.0,1.0,F1,3.0,2.07,88.2,1.99
male,group B,some high school,standard,25.0,Nigeria,2.0,21431.0,Self-funded,17.0,No,Off-campus,31.0,64.0,6.4,7.2,3.0,10.0,3.0,2.0,7.0,2.0,F1,10.0,2.14,89.9,2.36
male,group D,some high school,free/reduced,20.0,Brazil,2.0,94603.0,Loan,15.0,No,On-campus,28.0,60.0,8.9,5.8,0.0,9.1,2.0,9.0,2.0,3.0,F1,10.0,2.52,117.3,2.48
female,group C,some college,standard,18.0,South Korea,2.0,57481.0,Family,22.0,Yes,On-campus,39.0,72.0,7.7,6.6,4.0,9.7,1.0,10.0,2.0,3.0,F1,6.0,3.09,110.2,2.78
male,group B,associate's degree,free/reduced,21.0,South Korea,0.0,112573.0,Loan,18.0,Yes,With relatives,30.0,60.0,4.6,2.4,2.0,1.3,9.0,8.0,1.0,8.0,F1,4.0,3.48,111.6,2.51
female,group C,associate's degree,standard,19.0,India,3.0,29557.0,Self-funded,18.0,Yes,With relatives,27.0,64.0,7.8,7.0,1.0,13.4,4.0,9.0,2.0,5.0,F1,1.0,3.21,84.2,2.58
female,group D,some college,free/reduced,25.0,Germany,3.0,94971.0,Loan,17.0,No,With relatives,26.0,63.0,4.5,7.0,0.0,5.8,1.0,4.0,10.0,8.0,J1,1.0,2.78,113.5,2.44
male,group D,some college,standard,21.0,China,4.0,123302.0,Family,19.0,No,On-campus,8.0,60.0,4.1,9.1,4.0,4.7,1.0,4.0,8.0,6.0,Other,5.0,2.24,96.3,2.03
female,group A,associate's degree,free/reduced,19.0,Other,4.0,20162.0,Self-funded,15.0,No,On-campus,13.0,60.0,6.0,6.0,3.0,6.9,7.0,2.0,8.0,2.0,F1,8.0,3.56,90.5,2.13
male,group C,some high school,free/reduced,23.0,China,4.0,54742.0,Self-funded,7.0,Yes,On-campus,8.0,60.0,9.0,2.6,2.0,5.9,2.0,10.0,8.0,4.0,F1,1.0,2.73,103.0,1.99
male,group C,some high school,standard,23.0,Brazil,2.0,39675.0,Family,27.0,No,Off-campus,11.0,60.0,4.9,4.4,1.0,13.0,7.0,1.0,1.0,9.0,F1,2.0,3.47,112.9,2.64
male,group B,associate's degree,free/reduced,27.0,UK,3.0,93997.0,Family,0.0,No,On-campus,27.0,60.0,7.4,7.2,0.0,13.9,7.0,10.0,1.0,4.0,F1,7.0,3.03,111.1,2.34
male,group E,some high school,standard,21.0,China,2.0,37015.0,Family,16.0,No,With relatives,6.0,60.0,4.9,3.9,3.0,4.6,10.0,4.0,10.0,5.0,F1,8.0,3.48,115.6,1.8
male,group A,bachelor's degree,standard,23.0,Nigeria,0.0,70057.0,Family,11.0,No,With relatives,28.0,78.0,7.6,4.2,1.0,13.0,9.0,10.0,4.0,5.0,F1,3.0,3.81,117.1,2.47
female,group D,some high school,standard,19.0,China,4.0,52591.0,Family,29.0,No,On-campus,35.0,74.0,6.5,8.6,4.0,11.7,7.0,10.0,6.0,10.0,F1,8.0,3.84,89.5,2.71
female,group E,master's degree,standard,27.0,Brazil,2.0,113583.0,Self-funded,20.0,No,On-campus,35.0,68.0,7.4,6.7,4.0,14.0,1.0,8.0,8.0,8.0,F1,1.0,3.07,97.0,2.72
female,group B,associate's degree,standard,29.0,Other,2.0,146133.0,Self-funded,10.0,Yes,With relatives,38.0,60.0,5.0,6.1,3.0,3.7,8.0,2.0,2.0,6.0,F1,9.0,3.02,80.6,2.72
male,group B,high school,free/reduced,19.0,China,0.0,120318.0,Loan,4.0,No,On-campus,28.0,60.0,7.7,4.5,4.0,8.7,8.0,8.0,3.0,10.0,Other,2.0,2.53,115.2,2.47
male,group A,some college,free/reduced,27.0,Nigeria,1.0,29833.0,Loan,26.0,Yes,With relatives,30.0,60.0,9.0,7.8,2.0,4.1,4.0,1.0,6.0,7.0,F1,2.0,3.87,86.2,3.02
male,group E,associate's degree,standard,21.0,India,3.0,27896.0,Scholarship,11.0,No,Off-campus,20.0,64.0,7.3,4.3,3.0,12.4,8.0,1.0,10.0,6.0,F1,4.0,2.92,114.5,2.27
male,group D,high school,free/reduced,25.0,UK,1.0,52972.0,Loan,16.0,No,With relatives,17.0,60.0,6.5,7.9,4.0,0.1,4.0,4.0,4.0,5.0,F1,10.0,2.26,93.2,2.28
female,group C,some college,standard,24.0,Brazil,4.0,69733.0,Loan,5.0,No,Off-campus,19.0,80.0,8.6,2.6,0.0,8.5,8.0,7.0,2.0,5.0,F1,3.0,2.87,94.7,2.44
female,group C,some college,free/reduced,29.0,India,2.0,140363.0,Family,0.0,No,On-campus,31.0,83.0,4.1,8.9,4.0,5.1,5.0,9.0,7.0,3.0,F1,4.0,2.25,81.6,2.08
female,group D,associate's degree,standard,26.0,India,0.0,61800.0,Family,4.0,No,On-campus,8.0,71.0,7.6,6.0,2.0,4.8,4.0,5.0,4.0,7.0,F1,6.0,3.01,93.1,2.45
female,group A,some college,standard,25.0,India,0.0,116044.0,Loan,24.0,No,Off-campus,20.0,70.0,8.4,5.5,1.0,9.7,6.0,2.0,8.0,10.0,F1,7.0,3.12,115.5,2.68
female,group D,some high school,standard,22.0,South Korea,3.0,25347.0,Scholarship,27.0,No,On-campus,34.0,86.0,4.3,6.9,1.0,12.8,2.0,7.0,8.0,5.0,F1,5.0,2.68,81.0,2.47
female,group C,bachelor's degree,standard,19.0,UK,1.0,79063.0,Family,13.0,No,Off-campus,34.0,72.0,6.3,7.0,4.0,9.1,2.0,2.0,7.0,7.0,F1,2.0,2.14,96.3,2.69
male,group C,high school,free/reduced,22.0,Other,3.0,115850.0,Loan,4.0,No,On-campus,7.0,60.0,5.0,3.1,1.0,12.8,2.0,9.0,10.0,2.0,F1,3.0,3.89,81.3,1.91
male,group C,high school,standard,25.0,Germany,2.0,22643.0,Loan,21.0,No,With relatives,26.0,79.0,6.8,8.0,4.0,4.0,9.0,9.0,9.0,9.0,F1,10.0,3.55,94.8,2.36
male,group C,associate's degree,free/reduced,27.0,UK,3.0,60785.0,Self-funded,23.0,No,On-campus,26.0,60.0,7.2,4.2,2.0,7.8,10.0,3.0,4.0,8.0,F1,3.0,3.68,86.9,2.65
female,group B,some college,standard,26.0,South Korea,0.0,38681.0,Scholarship,26.0,No,With relatives,16.0,86.0,5.5,9.2,1.0,6.8,3.0,8.0,7.0,5.0,F1,5.0,2.73,90.1,2.23
male,group C,associate's degree,free/reduced,29.0,Germany,0.0,70026.0,Self-funded,0.0,No,With relatives,25.0,81.0,6.3,8.5,0.0,0.2,10.0,4.0,10.0,2.0,F1,5.0,3.52,115.1,2.16
male,group B,some high school,standard,29.0,UK,4.0,123864.0,Scholarship,29.0,No,Off-campus,8.0,66.0,5.4,4.8,4.0,8.4,4.0,3.0,10.0,6.0,F1,4.0,2.97,97.4,2.11
female,group E,some college,standard,29.0,India,4.0,35892.0,Family,17.0,Yes,On-campus,35.0,72.0,5.8,8.5,1.0,9.9,10.0,1.0,1.0,8.0,F1,8.0,2.4,91.0,2.73
female,group D,some college,free/reduced,26.0,Brazil,2.0,67299.0,Scholarship,15.0,Yes,Off-campus,35.0,67.0,4.8,4.9,2.0,8.9,8.0,5.0,4.0,7.0,Other,6.0,2.25,103.6,2.39
female,group D,bachelor's degree,standard,18.0,Germany,1.0,37073.0,Loan,8.0,No,On-campus,27.0,67.0,8.4,2.8,2.0,11.0,4.0,4.0,2.0,8.0,J1,6.0,2.69,85.7,2.84
male,group B,some college,standard,26.0,Nigeria,3.0,122304.0,Loan,18.0,Yes,With relatives,24.0,67.0,4.1,9.7,0.0,8.6,10.0,1.0,9.0,4.0,F1,1.0,2.28,90.4,1.96
male,group D,bachelor's degree,standard,24.0,Nigeria,2.0,50682.0,Scholarship,21.0,No,With relatives,19.0,74.0,8.4,7.2,2.0,1.0,10.0,10.0,5.0,3.0,J1,6.0,4.0,101.8,2.22
female,group D,associate's degree,standard,26.0,China,4.0,117798.0,Scholarship,4.0,No,On-campus,27.0,91.0,6.9,5.6,2.0,1.7,7.0,8.0,3.0,7.0,F1,3.0,2.1,89.5,2.44
male,group B,high school,standard,25.0,Germany,3.0,146021.0,Scholarship,26.0,No,On-campus,32.0,60.0,5.7,5.2,1.0,8.9,5.0,8.0,4.0,2.0,Other,6.0,2.88,107.2,2.27
male,group C,some college,standard,18.0,Brazil,4.0,116894.0,Self-funded,1.0,No,Off-campus,20.0,86.0,7.6,4.6,4.0,4.1,9.0,8.0,6.0,5.0,F1,10.0,2.9,99.7,2.21
female,group C,some college,standard,29.0,Other,3.0,144302.0,Scholarship,29.0,No,On-campus,25.0,67.0,6.5,9.9,3.0,1.2,4.0,3.0,10.0,7.0,F1,6.0,2.6,110.9,2.39
female,group D,master's degree,standard,25.0,South Korea,1.0,34289.0,Family,14.0,No,On-campus,19.0,100.0,6.5,3.1,2.0,6.4,3.0,6.0,1.0,1.0,F1,2.0,3.14,117.9,2.64
male,group E,associate's degree,standard,25.0,India,2.0,135359.0,Self-funded,6.0,No,On-campus,21.0,63.0,4.6,4.5,2.0,8.3,2.0,7.0,7.0,4.0,F1,1.0,2.3,84.6,2.08
female,group B,associate's degree,free/reduced,28.0,China,3.0,27927.0,Self-funded,3.0,No,Off-campus,17.0,76.0,5.9,5.9,3.0,4.9,1.0,9.0,8.0,2.0,F1,3.0,3.57,93.4,2.25
female,group B,some high school,standard,20.0,Nigeria,0.0,68330.0,Scholarship,0.0,No,On-campus,23.0,64.0,5.2,5.8,2.0,10.8,6.0,5.0,7.0,6.0,J1,5.0,2.66,92.8,2.21
female,group D,associate's degree,free/reduced,18.0,South Korea,0.0,86707.0,Family,12.0,Yes,With relatives,34.0,89.0,4.1,5.8,1.0,9.7,10.0,9.0,7.0,1.0,F1,4.0,3.18,86.0,2.06
male,group C,high school,standard,25.0,South Korea,3.0,140279.0,Self-funded,19.0,No,Off-campus,22.0,60.0,5.8,3.4,1.0,5.0,2.0,6.0,9.0,7.0,F1,7.0,3.43,112.4,2.43
male,group A,associate's degree,standard,20.0,India,3.0,97454.0,Loan,21.0,No,Off-campus,18.0,60.0,4.4,3.2,3.0,11.3,8.0,10.0,4.0,3.0,F1,4.0,3.78,110.4,2.02
female,group D,some college,standard,20.0,Other,3.0,127439.0,Self-funded,6.0,No,With relatives,24.0,60.0,5.3,4.0,2.0,9.7,6.0,10.0,7.0,1.0,F1,8.0,3.67,99.4,2.01
female,group E,bachelor's degree,standard,18.0,Other,0.0,124646.0,Scholarship,14.0,No,With relatives,23.0,100.0,4.5,9.3,2.0,9.6,5.0,10.0,9.0,8.0,F1,7.0,3.22,101.5,2.35
male,group C,high school,standard,28.0,Germany,0.0,85428.0,Family,22.0,No,With relatives,11.0,77.0,4.5,2.9,4.0,8.3,2.0,4.0,5.0,7.0,F1,10.0,2.78,82.4,2.42
female,group B,bachelor's degree,free/reduced,22.0,Nigeria,3.0,70601.0,Scholarship,13.0,No,On-campus,8.0,85.0,5.0,8.1,2.0,0.2,7.0,1.0,2.0,2.0,F1,9.0,3.01,102.2,2.33
female,group D,bachelor's degree,standard,27.0,Other,4.0,97465.0,Loan,22.0,No,With relatives,38.0,82.0,9.0,8.1,1.0,10.4,2.0,1.0,5.0,7.0,F1,1.0,3.54,111.7,3.33
female,group D,some high school,standard,24.0,Brazil,4.0,22539.0,Loan,18.0,Yes,On-campus,6.0,63.0,4.0,8.5,0.0,5.6,5.0,10.0,4.0,3.0,F1,5.0,3.76,103.0,1.96
female,group C,some college,standard,27.0,Other,1.0,122263.0,Loan,21.0,Yes,Off-campus,9.0,69.0,7.2,9.1,0.0,14.1,2.0,5.0,8.0,9.0,F1,4.0,2.21,90.6,2.27
female,group C,bachelor's degree,standard,26.0,South Korea,2.0,131487.0,Scholarship,28.0,No,Off-campus,14.0,92.0,4.7,4.1,0.0,12.3,10.0,3.0,5.0,8.0,F1,6.0,2.77,106.7,2.32
male,group B,associate's degree,standard,29.0,India,4.0,42669.0,Self-funded,23.0,No,With relatives,36.0,89.0,8.6,3.8,0.0,8.8,2.0,5.0,9.0,5.0,J1,1.0,3.55,94.5,2.93
female,group C,some college,standard,24.0,Brazil,0.0,90968.0,Scholarship,19.0,No,On-campus,17.0,93.0,4.5,5.7,2.0,3.8,7.0,5.0,9.0,7.0,F1,6.0,2.86,101.8,2.22
male,group D,high school,free/reduced,26.0,Germany,4.0,40644.0,Family,28.0,No,With relatives,9.0,60.0,8.8,4.1,2.0,3.1,9.0,1.0,3.0,3.0,F1,1.0,2.66,99.5,2.22
male,group E,some college,standard,25.0,Nigeria,1.0,38745.0,Self-funded,23.0,No,With relatives,14.0,80.0,7.1,7.9,4.0,5.1,5.0,8.0,10.0,1.0,F1,1.0,2.82,95.2,1.89
female,group B,high school,standard,29.0,Germany,1.0,140852.0,Loan,17.0,No,On-campus,14.0,95.0,4.0,7.1,2.0,7.1,7.0,5.0,6.0,1.0,F1,8.0,3.21,108.8,2.12
male,group B,some high school,standard,19.0,South Korea,2.0,148081.0,Scholarship,9.0,Yes,With relatives,31.0,68.0,8.5,9.0,0.0,4.4,4.0,5.0,6.0,2.0,F1,2.0,4.0,115.4,2.73
male,group D,some college,standard,18.0,Brazil,4.0,48228.0,Loan,8.0,No,Off-campus,25.0,77.0,6.6,2.7,3.0,7.7,2.0,9.0,4.0,8.0,F1,10.0,2.99,80.2,2.65
